4348,Pride & Prejudice
385448,The Little Mermaid
2503,The Bourne Ultimatum
393519,Grave
1579,Apocalypto
12289,赤壁
460555,红海行动
15472,Män som hatar kvinnor
9762,Step Up
121046,Eternity
207932,Inferno
429200,Good Time
13127,殺破狼
168672,American Hustle
38575,The Karate Kid
4349,The Kingdom
7211,Dan in Real Life
45269,The King's Speech
381289,A Dog's Purpose
7980,The Lovely Bones
576503,Wasteland
483184,Dogman
13811,Knowing
198277,Begin Again
7345,There Will Be Blood
296096,Me Before You
4982,American Gangster
41233,Step Up 3D
470333,Hearts Beat Loud
416477,The Big Sick
438650,Cold Pursuit
68734,Argo
445954,Acts of Vengeance
8456,Never Back Down
465136,Every Day
318846,The Big Short
265208,Wild Card
