Source,Target
1422,1266
1422,10651
1422,357096
459910,627
459910,1900
459910,2034
459910,438808
459910,13815
419478,10947
419478,376660
419478,10625
419478,15144
419478,4951
446101,4421
446101,10035
446101,342737
446101,336804
446101,20815
346672,12437
346672,24
346672,566512
346672,7131
346672,11713
38,1903
38,261470
38,50544
38,521
38,638
176147,370663
176147,10818
176147,258480
176147,52371
176147,9813
399404,424
399404,746
399404,14574
399404,228150
399404,637
50620,49017
50620,50619
50620,36648
53182,57165
53182,18823
53182,37958
53182,188207
53182,10323
11036,1366
11036,1246
11036,7555
11036,11232
11036,1494
419831,1927
419831,209112
419831,141052
419831,10195
419831,155
399170,520360
399170,9654
399170,339403
399170,949
399170,298
400617,3933
400617,399057
400617,521
400617,1597
400617,6637
429351,281957
429351,193756
429351,369972
429351,97630
429351,123553
489931,75656
489931,269795
489931,37797
489931,912
489931,5143
1402,451915
1402,310307
1402,8916
1402,10139
1402,2539
395841,357096
395841,75780
395841,4771
395841,281957
395841,395834
146233,345887
146233,37645
146233,11423
146233,4771
146233,1923
112160,53932
112160,14
112160,449176
112160,86331
112160,1391
448776,107846
448776,10734
448776,769
448776,5925
448776,424
58595,290595
58595,408
58595,385448
58595,8840
58595,808
400579,433
400579,2758
400579,277216
400579,15584
400579,82702
64682,27066
64682,346685
64682,1259
64682,84892
64682,222935
154400,324542
154400,769
154400,156022
154400,241554
154400,949
6977,4836
6977,101
6977,189
6977,156022
6977,949
406990,75780
406990,782
406990,2275
406990,949
406990,4349
429203,75656
429203,339403
429203,507
429203,359412
429203,968
201088,27576
201088,5503
201088,59961
201088,213
787,13184
787,1620
787,249070
787,101
787,2501
64690,341006
64690,769
64690,398175
64690,1991
64690,74997
401905,101299
401905,198663
401905,157350
401905,2048
401905,333339
485164,370663
485164,258480
485164,9813
485164,426613
485164,273153
569547,157353
569547,62
569547,78
569547,296
569547,335984
73881,21385
73881,155
73881,568
73881,597
73881,10527
396371,1645
396371,7984
396371,242
396371,640
432301,403
432301,440298
432301,376866
432301,2604
432301,2142
460071,396371
460071,1955
460071,424
460071,316029
460071,324786
464502,74997
464502,281957
464502,458594
464502,357096
464502,10781
4922,458594
4922,416477
4922,510
4922,956
4922,50544
28178,13
28178,489
28178,862
28178,68718
28178,8839
119450,76341
119450,63
119450,157336
119450,101299
24021,50619
24021,49017
24021,50620
491584,11360
491584,11596
491584,638
491584,426543
491584,12092
449459,627
449459,197
449459,97370
449459,428399
449459,180863
258216,22705
258216,249397
258216,53932
258216,112160
258216,979
414191,15021
414191,519247
414191,428449
414191,15206
414191,10065
384680,396373
384680,581
384680,395834
384680,281957
384680,8584
17979,13188
17979,13377
17979,8871
17979,1585
17979,9479
557648,449176
557648,502220
557648,184352
557648,424694
557648,26280
476292,378064
476292,370663
476292,297762
476292,81
476292,9323
406997,1265
406997,73
406997,442062
406997,252
406997,400928
370663,513
370663,52371
370663,449176
370663,258480
370663,376867
171274,222935
171274,169917
171274,466282
171274,10734
171274,769
575185,14564
575185,173484
575185,397981
575185,414181
575185,84348
446354,891
446354,424
446354,640
446354,769
446354,274479
222935,10229
222935,9880
222935,449176
222935,308369
222935,397837
379149,281957
379149,238636
379149,345887
379149,55846
379149,49021
220882,198663
220882,157350
220882,78
220882,336843
220882,101299
652,10693
652,57165
652,18823
652,188207
652,10323
515916,370663
515916,438962
515916,84892
515916,398818
515916,419743
363676,87502
363676,451915
363676,487558
363676,568
301337,604
301337,605
301337,335984
301337,500664
301337,9739
1124,13374
1124,675
1124,44214
1124,75656
1124,291805
399057,956
399057,11713
399057,146233
399057,345887
399057,458594
333371,146233
333371,345887
333371,562
333371,38810
333371,1571
511404,112160
511404,13
511404,576503
511404,394117
511404,587
77338,44564
77338,68718
77338,50544
77338,13
77338,489
293863,1024
293863,24420
293863,38
293863,50544
293863,521
59440,10191
59440,17689
59440,7859
59440,800
59440,666
274857,19957
274857,18937
274857,6520
274857,762
274857,346
467952,449176
467952,424
467952,84892
467952,339259
82695,3933
82695,3131
82695,1894
82695,342473
82695,16563
339103,769
339103,261023
339103,156022
339103,396371
339103,9679
395992,2067
395992,157336
395992,126889
395992,286217
395992,27179
372343,281957
372343,392044
372343,381034
372343,4771
372343,189
470229,133805
470229,357096
470229,3597
470229,948
470229,1949
507076,184352
507076,449176
507076,370663
507076,376867
507076,467952
122906,13
122906,137106
122906,433
122906,118
122906,521
278927,407436
278927,9325
278927,9502
278927,346648
278927,116149
12783,27066
12783,4507
12783,283227
12783,843
12783,14
283366,1452
283366,8536
283366,9531
283366,9738
283366,49521
27,1791
27,86331
27,634
27,786
27,525
76203,8619
76203,19067
76203,339408
76203,407806
76203,468210
470894,474395
470894,44912
470894,141052
470894,415
470894,9738
1417,566810
1417,11224
1417,10882
1417,426543
1417,224141
376867,449176
376867,511785
376867,258480
376867,26280
376867,14
84892,398818
84892,449176
84892,376867
84892,426613
84892,308369
23168,24418
23168,84892
23168,222935
23168,198663
23168,131631
254,244
254,58
254,497
254,329
254,135397
332567,578
332567,135397
332567,579
332567,345940
332567,44115
462919,454
462919,621
462919,2976
462919,224141
462919,429417
500475,4771
500475,8012
500475,38842
500475,398181
500475,17494
13374,449176
13374,14069
13374,18126
13374,9472
13374,489
398181,8012
398181,769
398181,133805
2502,2501
2502,562
2502,2503
2502,201088
2502,27576
50646,576503
50646,12556
50646,8390
50646,4148
50646,63492
72190,336843
72190,294254
72190,82654
72190,101299
72190,198663
429417,110415
429417,566512
429417,416234
429417,452507
429417,91586
38810,157851
38810,44214
38810,399057
38810,2124
38810,1278
505192,20352
505192,17917
505192,11236
505192,21198
505192,43125
340666,222935
340666,84892
340666,198663
340666,131631
474354,336843
474354,1645
474354,7984
474354,8055
474354,390051
44214,566512
44214,244786
44214,20497
20662,375588
20662,10907
20662,192
20662,41215
20662,11469
443009,363676
443009,451915
443009,487558
443009,324786
295011,72190
295011,336843
295011,1562
295011,170
295011,19908
486947,11001
486947,6933
486947,1256
486947,21240
486947,406162
314365,389
314365,15
314365,396371
314365,376867
314365,446354
340674,340613
340674,340666
340674,34584
340674,4347
340674,51828
418827,53932
418827,345
418827,28468
418827,10068
418827,74997
502682,451480
502682,5951
502682,448514
502682,125255
446791,345887
446791,74997
446791,769
446791,424121
446791,275
2567,363676
2567,424
2567,640
2567,769
2567,274479
296524,5919
296524,568
296524,551
296524,205775
296524,166426
453201,581
453201,2501
453201,8966
453201,350
453201,424
274479,360814
274479,376290
274479,3525
274479,424
274479,390582
64686,58857
64686,14537
64686,281957
64686,345887
64686,445954
353326,340027
353326,205596
353326,334543
353326,1955
353326,424
110415,185
110415,280
110415,281957
110415,49049
110415,9482
492258,487558
492258,472451
492258,363676
492258,451915
492258,324786
20497,433
20497,20352
20497,634
20497,342473
491622,324786
491622,374720
491622,8741
491622,228150
491622,137113
14574,423
14574,424
14574,369885
14574,289
14574,228150
396461,845
396461,426
396461,627
396461,396371
396461,949
426613,449176
426613,10818
426613,370663
426613,376867
532869,66534
532869,366696
532869,349190
532869,512391
532869,538356
10184,38
10184,261470
10184,576503
10184,8390
10184,451925
395991,49017
395991,228150
395991,2924
395991,122
395991,707
388,228150
388,531593
388,1771
388,424
388,637
503346,9555
503346,137113
503346,602
503346,47933
503346,11549
44264,101299
44264,281957
44264,336843
44264,7980
44264,101
371638,8966
371638,75900
371638,9880
371638,424
371638,10734
14047,472451
14047,324786
14047,363676
14047,451915
14047,487558
261470,276
261470,34494
261470,24420
261470,979
451925,122906
451925,13
451925,38
451925,817
451925,398818
346685,2501
346685,867
346685,210577
39254,198184
39254,604
39254,605
39254,2048
39254,44833
302946,136795
302946,414
302946,1844
302946,400579
302946,395990
339692,4771
339692,345887
339692,2749
339692,979
339692,868
489929,812
489929,1949
489929,76492
489929,50620
489929,254128
1164,142
1164,2024
1164,95
1164,13184
1164,503
152601,604
152601,605
152601,335984
152601,500664
152601,38
142,745
142,507076
142,376867
142,449176
142,424694
6479,604
6479,605
6479,76341
6479,198663
6479,335984
4964,271718
4964,400579
4964,195589
4964,378
4964,9381
412862,371608
412862,39874
412862,10781
412862,948
412862,1359
37799,201088
37799,65754
37799,15472
37799,24253
37799,446807
334541,345920
334541,493922
334541,4922
334541,399057
334541,429200
362826,281957
362826,357096
362826,948
362826,1949
362826,395834
1538,156022
1538,136795
1538,562
1538,9401
1538,4349
338766,339692
338766,429200
338766,475
338766,14854
338766,1696
13223,311
13223,345887
13223,245891
13223,277216
13223,8859
7840,425
7840,49519
7840,387592
7840,950
7840,278154
455108,281957
455108,392044
455108,336843
455108,133805
455108,101299
454652,10161
454652,363676
454652,401847
454652,451915
454652,487558
82693,272693
82693,417678
82693,203739
82693,84892
82693,222935
124905,373571
124905,1682
124905,19545
124905,7191
124905,315011
4348,84892
4348,50619
4348,8966
4348,581
4348,9880
385448,767
385448,10882
385448,12444
385448,12445
385448,671
2503,2501
2503,4771
2503,9331
2503,8834
393519,449176
393519,26280
393519,10938
393519,184352
393519,376867
1579,346
1579,3170
1579,9902
1579,10191
1579,9454
12289,140300
12289,55292
12289,146
12289,9502
12289,11713
460555,9355
460555,409
460555,345009
460555,10243
460555,25388
15472,65754
15472,315837
15472,397837
15472,101299
15472,131631
9762,20497
9762,634
9762,858
9762,433
9762,44214
121046,149465
121046,147371
121046,149467
121046,149468
121046,274857
207932,281957
207932,133805
207932,2502
207932,769
207932,398181
429200,769
429200,398181
429200,339692
429200,169917
429200,398175
13127,11713
13127,9461
13127,146
13127,24
13127,604
168672,769
168672,1422
168672,9366
168672,339103
168672,156022
4349,186
4349,11423
4349,8834
4349,691
4349,395834
7211,49519
7211,530624
7211,576503
7211,10144
7211,12429
45269,1165
45269,38050
45269,858
45269,18320
45269,339397
381289,101299
381289,281957
381289,336843
381289,28178
381289,32657
7980,769
7980,1949
7980,65754
7980,281957
7980,336843
576503,449176
576503,26280
576503,501902
576503,184352
576503,377154
483184,357096
483184,345887
483184,458594
483184,281957
483184,74997
13811,11336
13811,10424
13811,12554
13811,171540
13811,39857
7345,73
7345,372343
7345,458737
7345,1538
7345,9654
296096,8966
296096,466282
296096,43923
296096,216015
296096,84892
4982,272
4982,769
4982,1900
4982,4836
4982,138832
41233,224141
41233,11224
41233,14128
41233,16119
41233,150689
416477,772
416477,429200
416477,241239
416477,254172
416477,11007
438650,345887
438650,458594
438650,74997
438650,46957
438650,357096
68734,424694
68734,746
68734,277216
68734,300671
68734,266856
445954,357096
445954,10651
445954,281957
445954,345887
445954,55846
8456,391757
8456,345887
8456,11713
8456,445954
8456,133805
465136,336843
465136,321612
465136,401905
465136,428078
465136,476926
318846,106646
318846,424
318846,316029
318846,324786
318846,334543
265208,309242
265208,32044
265208,8065
265208,8052
265208,4478
